number,content,sentiment,sentiment_score,stance,stance_score
194,データの見方間違ってる パーセンタイルというのは全選手中で何パーセントかという順位で13になっているのは地上戦回数 地上戦は主に中盤で発生するのでCBは数値が低くなるという数字のマジックにすぎない 割合で確認してみれば69戦42勝だから勝率は60強 32試合やってドリブルで抜かれた回数4回だけなのでかなり硬いよ,neutral (0.779),0.779,強く賛成 (0.237),0.237
195,ダニーロのプレー集見てフィードが既視感あるなと思ったら航だわ 航のフィードを思い出した サヴィオ金子松尾と相性良さそう,neutral (0.814),0.814,強く反対 (0.239),0.239
196,ダニーロとれれば今冬全体で80点はあげられるかも 右SBで90点 CFで100点,neutral (0.784),0.784,強く反対 (0.252),0.252
197,ダニーロボザのここ2年のプレー集とスタッツは申し分ないんだが 何故今まで頭角を出さなかったのか気になる ポルトガルで失敗してるし 大事なのは今だからいいんだけど ポカミス多い系なのかも,neutral (0.729),0.729,強く反対 (0.224),0.224
198,ダニーロボザのプレイ動画観たけどプレス受けてもかわせるしドリブルやワンツーでどんどん前に持っていけるね 日本ならこれくらい足元上手ければボランチで考えたくなるレベル新潟とか鹿島に居たレオシルバのDF版って感じがする,neutral (0.754),0.754,強く賛成 (0.238),0.238
199,ダニーロボザブラジル一部でバリバリ稼働してるん,neutral (0.802),0.802,中立 (0.224),0.224
200,全国選手権32試合だからほぼフル出場やろ たしかいまの全国選手権は20チームのHA総当りで38試合だったはず,neutral (0.815),0.815,強く反対 (0.223),0.223
201,一部は今季からで主力 ただそれまでは二部みたいだな 今が登り始めなら良いな,neutral (0.768),0.768,強く反対 (0.216),0.216
202,内容,neutral (0.838),0.838,強く反対 (0.226),0.226
203,フランクフルトU21でアシスタントコーチを務める長谷部誠氏(40)が12日さいたま市内で取材に応じ日本代表が歴代最強と称されることに対する違和感を口にした 昨年9月から日本代表コーチを兼任するが歴代最強とか言うのは基本的には好きではない日本サッカーをつくってくださった先輩方の力がなければ自分も海外でプレーするとか海外で指導するとか そういうチャレンジはできていないと思うそういう先輩方へのリスペクトが常に頭にあるのでそういうこと(歴代最強)はまったく思わないと強調した W杯アジア最終予選でC組の日本代表は5勝1分けの無敗で首位を快走3月20日のバーレーン戦に勝てば3試合を残して8大会連続の本大会出場が決まる長谷部氏は自分は日本代表の肩書を名乗るのが失礼なぐらいの働きしかできていないと思っているが レベルの高い選手を見られることはすごく刺激になる監督やコーチングスタッフテクニカルスタッフと時間を共にしてコミュニケーションを取れるのは本当にありがたい 指導者1年目にレベルの違う2つのチーム(日本代表とフランクフルトU21)を見られるのは本当にありがたい環境と感謝した この日は浦和駒場スタジアムで開催されたフランクフルトと浦和によるサッカー教室に参加小学36年生の50人に座学ピッチ上でのトレーニングで指導し自分は熱量をグラウンドに持ち込める指導者に魅力を感じていたので 今はそういうところにトライしているJリーグそして世界で活躍する選手がこの中から出てきてくれればうれしいと期待した,neutral (0.705),0.705,強く反対 (0.240),0.24
204,そりゃプレーヤー本人たちからしたら先輩を差し追いて歴代最強とか言うのは気が引けるだろう 見てる周りからしたら歴代最強だよなぁって完全な第三者目線のはなしだからな,neutral (0.770),0.77,強く反対 (0.233),0.233
205,だから当事者としては思わないよってだけやん,neutral (0.755),0.755,強く反対 (0.251),0.251
206,中田と小野と名波と中村がいた昔の方が中盤はレベルが高かったね,neutral (0.801),0.801,強く反対 (0.225),0.225
207,その辺は守備の強度がね・・・ 攻撃のアイデアは上だと思うけど,neutral (0.696),0.696,強く反対 (0.235),0.235
208,黄金世代は司令塔が四人いたようなもんだしな,neutral (0.791),0.791,強く賛成 (0.218),0.218
209,さすが真面目なキャプテン長谷部誠や 先輩方歴史への敬意がまず念頭にある,neutral (0.748),0.748,強く反対 (0.272),0.272
210,当事者が言うならともかく外野が言う分にはいいじゃん,neutral (0.760),0.76,強く反対 (0.242),0.242
211,GK 川口 DF 中澤 MF 中田英 FW 久保竜 ここらへんに勝てる選手が未だに出てこない,neutral (0.747),0.747,中立 (0.227),0.227
212,久保竜とか怪我で全然あかんヤツ 中澤も基本的には遅い,neutral (0.754),0.754,中立 (0.229),0.229
213,当時としては国の最高峰だと思うけど全員とっくに超えてると思う,neutral (0.772),0.772,強く反対 (0.233),0.233
214,まあ先達の無様を見れた事で自身のスタートラインが前に進んだところから始まったわけだからね 同じだけの努力をすれば過去の名選手より順当に良い結果を得られる その原理を理解していれば俺最強なんてとても不遜に思えて言えんわな さすが長谷部よ,neutral (0.768),0.768,強く反対 (0.235),0.235
215,クラブと違って代表は選手買ってくるとかできねえから 育成の結果が出るまで気の遠くなる長い時間がかかる 長谷部が言いたいのはそういうことだと思う,neutral (0.692),0.692,強く賛成 (0.239),0.239
216,一昔前の代表が一番面白かったなドーハ南アの代表までは親善すら大半の試合は見てた 最近は見ることもなくなったけど 今の代表強いかもしれんけど華が全然なくて魅力を感じない,neutral (0.724),0.724,強く反対 (0.229),0.229
217,中田がいなきゃ香川はいないし 香川がいなきゃドイツにここまで日本人選手はいなかっただろうし,neutral (0.772),0.772,強く賛成 (0.247),0.247
218,現在のサッカーは中田がスタートかもなあ カズや奥寺とかは残念ながら今の選手の流れの基礎とは言い難い,neutral (0.785),0.785,強く反対 (0.226),0.226
219,Jリーグスタートしてから初めて世界最高峰リーグで成功したのが中田ヒデだからね JSL時代の奥寺は突然変異みたいなもんで後が続かなかったしカズの場合は実父が現地で代理人やっててマネジメントは全てお任せだったし,neutral (0.809),0.809,中立 (0.237),0.237
220,まあカズはJリーグを盛り立てた功労者だから まあそれはそれで,neutral (0.750),0.75,強く反対 (0.222),0.222
221,個人的には現在のサッカーは奥寺がスタートだと思う 奥寺の後に尾崎と風間が続いた(風間はブンデス2部と3部でしかプレーしてないが) 日本サッカーとJリーグはドイツサッカー(協会)やブンデスを教科書にして発展してきた 5大リーグの中で日本人選手が1番たくさんプレーしてきたのはブンデスだし ブンデスと日本人は相性が良く日本人選手として初めてヨーロッパのリーグで活躍したのが奥寺(ブンデス)なのも必然,neutral (0.801),0.801,強く賛成 (0.246),0.246
222,今が普通に歴代最強だと思うがもうピークは過ぎた感じする 冨安は怪我でいないのがデフォだし遠藤伊東三笘とかの中心選手も衰えが見える,neutral (0.771),0.771,中立 (0.220),0.22
223,ウイングは歴代最強 だけどぶっちゃけよく考えたらそこだけなんだよな FWもセンターのMFもSBもCBもそこまでじゃないし,neutral (0.745),0.745,強く賛成 (0.230),0.23
224,いやCBも間違いなく歴代最高だろ 冨安はもちろん日本サッカー史上の最高のDFだし板倉町田伊藤谷口と層も厚くて一人や二人抜けても大崩れしない ボランチも控えが薄いけどレギュラーの遠藤守田のコンビはやっぱり歴代最高だと思うぞ,neutral (0.728),0.728,強く反対 (0.234),0.234
225,CFとしても高原より上がいるかと言われたらまあ微妙,neutral (0.759),0.759,強く反対 (0.242),0.242
226,高原よりも岡崎と大迫の方が上だと思うぞ まあ今の代表の選手でないが,neutral (0.726),0.726,強く賛成 (0.238),0.238
227,部分的には岡崎のが上はあるが 大迫が上は100ない,neutral (0.768),0.768,強く反対 (0.241),0.241
228,いやいや大迫みたいにワントップこなせる日本人FWは他にいないよ 競えるとしたら本職じゃない本田くらいじゃない 岡崎は実績がケタ外れで部分的にではなく総合的に21世紀では最強の日本人FW カズや釜本の全盛期知らんから歴代最強とまでは言い切れないが,neutral (0.817),0.817,強く賛成 (0.220),0.22
229,三笘伊東がキレキレだった時は歴代最強だったけどその生命線の二人がここ2年でだいぶパフォ落ちてきてるからチームのピークは過ぎてるわな,neutral (0.817),0.817,中立 (0.218),0.218
230,しかもWBで使いやがるからなあ,neutral (0.761),0.761,中立 (0.220),0.22
231,今の代表に入れそうな過去の代表選手 FW岡崎大迫高原 MF中田香川本田長谷部 DF内田釣男 GK該当者なし,neutral (0.824),0.824,強く反対 (0.243),0.243
232,さすがに全盛期川島は谷大迫より上だろ,neutral (0.756),0.756,強く反対 (0.239),0.239
233,長友酒井も楽勝だろう,neutral (0.737),0.737,強く反対 (0.229),0.229
234,ジーコジャパンやザックジャパンを見ているとアジア杯で優勝しない方がいい気がする 04年や11年のアジアカップはどっちもすごく面白かったが,neutral (0.791),0.791,強く賛成 (0.240),0.24
235,W杯翌年のアジアカップで好成績残すとチームの成熟が早すぎてそこからピークアウトしちゃうんだよね 3年も経てば劣化した選手も出てくるのに世代交代しづらくなる,neutral (0.791),0.791,中立 (0.220),0.22
236,それとこれとは別 長谷部だって先輩だろうが必要とあれば 激飛ばしたりモノ申したりするだろ,neutral (0.745),0.745,強く反対 (0.227),0.227
237,日本代表は年々強くなってるよね,neutral (0.790),0.79,強く反対 (0.237),0.237
238,当然実力は今の選手が上であるべきでしょ先人達が積み上げた知識や技術で効率的な成長が出来て育ててきたサッカー人気で昔より良い施設が使えてシステムも確立されてるんだから,neutral (0.767),0.767,強く賛成 (0.231),0.231
